VM;Personenkmjahr;Strassenverkehr

Fahrrad;2.56E+09
PKW;7.05E+09
Fuss;1.09E+09
KRad;1.98E+08
Sonstige;1.5E+08
Tram;5.75E+08
S-Bahn;5.09E+09
U-Bahn;2.90E+09
